"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000040618",1787.64941462279,2.05619487198363,0.0852710664855261,24.1136291209943,1.79868564020381e-128,5.39961476033931e-126
"ENSMUSG00000059456",1006.73131926844,5.76617751715312,0.239487753245609,24.0771289513062,4.34076790262619e-128,1.28892497352111e-125
"ENSMUSG00000027875",1374.62823137297,5.58581140768954,0.232099312714326,24.0664711255078,5.61277672163867e-128,1.64870789765296e-125
"ENSMUSG00000048562",1030.79416482286,-8.48001867982591,0.353645563463113,-23.9788634608742,4.62124704305368e-127,1.34301305023554e-124
"ENSMUSG00000029162",603.983541286857,3.3825784485392,0.141071125173003,23.9778228492256,4.73821263289932e-127,1.36251044953204e-124
"ENSMUSG00000054252",3599.30978539235,-3.28972638428109,0.137383857290241,-23.9455089496513,1.02912987637928e-126,2.92851770447178e-124
"ENSMUSG00000029994",1062.59455934662,3.32758477980506,0.139158499047148,23.9121922310878,2.28720820367574e-126,6.44143852659937e-124
"ENSMUSG00000013698",9706.75796258819,-2.87236849960859,0.12090865812752,-23.7565162337603,9.40924323458468e-125,2.62287455798351e-122
"ENSMUSG00000031626",3314.75644665625,-3.82750853615444,0.161365438644806,-23.7195062852304,2.26869239165182e-124,6.19761387551443e-122
"ENSMUSG00000020723",808.693185858721,-4.0896054036171,0.172413702340882,-23.7197238275846,2.25699541551483e-124,6.19761387551443e-122
"ENSMUSG00000042345",1042.89900103349,7.83857426388502,0.330598915543031,23.7102237646776,2.82844584906086e-124,7.65024591135093e-122
"ENSMUSG00000031665",1706.53435104801,-3.26222793704745,0.137873986112267,-23.6609387240833,9.10793193789214e-124,2.43931847724841e-121
"ENSMUSG00000030742",315.807981440899,3.41224197958902,0.144227478194893,23.6587509002833,9.59269037739944e-124,2.54420500708542e-121
"ENSMUSG00000044986",1665.89669393371,3.79382794167874,0.160491987318389,23.6387373916209,1.54118858115265e-123,4.04828746730079e-121
"ENSMUSG00000022346",6510.07702607821,3.74776582433484,0.158573362145778,23.6342710630648,1.71311029950705e-123,4.45702353923178e-121
"ENSMUSG00000041272",1267.56221780806,-2.67873025074033,0.113369473834763,-23.628320394647,1.97226678051899e-123,5.08286640662433e-121
"ENSMUSG00000066026",1139.97644008348,3.17655112031015,0.134640045238582,23.5929148321459,4.55681975402356e-123,1.16339441159267e-120
"ENSMUSG00000029752",14010.093980603,3.86557183450752,0.164050575885882,23.5632932931398,9.17329479406656e-123,2.32033395541028e-120
"ENSMUSG00000050910",1354.60788356875,-1.78954444009204,0.0759809525694437,-23.5525402034999,1.18232949853954e-122,2.96319974689019e-120
"ENSMUSG00000036833",920.635195122502,3.10571375815063,0.131924296640525,23.5416359020906,1.5291509069175e-122,3.7975767704702e-120
"ENSMUSG00000097023",1936.45292498701,-8.4735989627258,0.360197635576079,-23.5248600373893,2.27098466169207e-122,5.58907738631568e-120
"ENSMUSG00000005611",940.551645035076,4.61894859121159,0.196424233152872,23.5151667239386,2.85368466709864e-122,6.9604426549822e-120
"ENSMUSG00000022221",921.897395817383,3.17711530054493,0.135151887775258,23.5077389805173,3.39927730464101e-122,8.21782808921975e-120
"ENSMUSG00000052854",1704.50120950848,3.18586445122581,0.135760096103537,23.4668694459093,8.89253233863373e-122,2.13093156514733e-119
"ENSMUSG00000039477",4177.83859225604,-2.00041210295189,0.0853431859322784,-23.4396229892245,1.68674759478495e-121,4.00683224298568e-119
"ENSMUSG00000009772",1623.72729059004,-4.44095672740395,0.189595808882712,-23.4232853224684,2.47517772308022e-121,5.82904353785391e-119
"ENSMUSG00000053886",869.401136409892,7.66022901510653,0.327049410290249,23.4222376622182,2.5367807695539e-121,5.92305786860456e-119
"ENSMUSG00000005320",343.356880173313,5.29676040438161,0.22687397889114,23.3467074111797,1.48849282268252e-120,3.44598702796958e-118
"ENSMUSG00000025494",497.331014838552,4.31133130370473,0.184861686532579,23.3219299497461,2.65644096090307e-120,6.09820623276892e-118
"ENSMUSG00000044461",1825.74536307791,-3.01766758293866,0.12959384828118,-23.285577386291,6.20709304905855e-120,1.41304473261818e-117
"ENSMUSG00000030137",267.69739142734,5.48184920105115,0.235728204244142,23.2549567779918,1.26740103106678e-119,2.86139350137869e-117
"ENSMUSG00000086296",364.180005705989,-6.22655595330445,0.267781668638084,-23.2523607197319,1.34641762732406e-119,3.0148718641999e-117
"ENSMUSG00000004748",952.182456637676,3.14553372994666,0.135446801490398,23.2233887794659,2.64305634779083e-119,5.87016368365447e-117
"ENSMUSG00000026786",360.554310066591,4.69146354785468,0.202331185902334,23.1870511059984,6.1516468364747e-119,1.35524748611948e-116
"ENSMUSG00000059336",2937.93693522191,5.34934406547395,0.23076494816394,23.1809211409077,7.09294253255528e-119,1.55012003283476e-116
"ENSMUSG00000020620",618.746793324313,3.62013453915622,0.156608504697862,23.1158234103594,3.20984768264804e-118,6.95925547576025e-116
"ENSMUSG00000040564",1104.67525003868,7.90864655855104,0.342919592070688,23.0626850766835,1.09730345621185e-117,2.36032565486577e-115
"ENSMUSG00000038591",862.876182960304,8.94205527885968,0.387830097030308,23.056630589866,1.26204287864734e-117,2.69347557491313e-115
"ENSMUSG00000049422",641.536553136722,4.23789364455951,0.184438792282016,22.9772359281098,7.87418648461227e-117,1.66749632857859e-114
"ENSMUSG00000100252",2104.48206690258,-8.96872938440728,0.39111706143954,-22.9310614868017,2.27710251068966e-116,4.78506818361694e-114
"ENSMUSG00000033880",648.55747570518,5.07446038146032,0.221391810419739,22.920723091968,2.88743908958752e-116,6.02130237017954e-114
"ENSMUSG00000020052",1611.82680034009,-6.23279528439737,0.272556774525049,-22.8678787942751,9.70365576787215e-116,2.00821566868736e-113
"ENSMUSG00000023045",1069.76841884019,9.25436062234934,0.40509070120626,22.8451568865741,1.6327270185323e-115,3.35359674377936e-113
"ENSMUSG00000045165",319.676621317168,4.42712012253602,0.194242751832945,22.7916876215978,5.54374483644655e-115,1.13017926449289e-112
"ENSMUSG00000030688",1730.99590249571,4.55388264151471,0.199836140323705,22.788083447459,6.0192730516409e-115,1.21803334240538e-112
"ENSMUSG00000020573",554.457043633436,3.01340745209718,0.132291186080429,22.7785957733051,7.47483645384382e-115,1.50145281063313e-112
"ENSMUSG00000057729",653.346072946248,2.60021875822513,0.114335755434012,22.7419563403841,1.72371939764806e-114,3.43712164269705e-112
"ENSMUSG00000059481",6006.88996193324,12.7388917141535,0.560455940945887,22.7295149956907,2.28849097913156e-114,4.5302171426026e-112
"ENSMUSG00000045954",1506.72188661623,4.4445856992358,0.195660724544523,22.7157785988083,3.12871425533402e-114,6.1489364048356e-112
"ENSMUSG00000050473",476.271586721072,5.42324425941457,0.239638642410552,22.6309254837264,2.15043381539987e-113,4.19611078350669e-111
"ENSMUSG00000061517",696.79354483941,-7.97317971672473,0.354617132146415,-22.4839100933024,5.96473200146259e-112,1.1556350979855e-109
"ENSMUSG00000072235",58937.0235175017,-3.93089135217447,0.174916248226141,-22.4729914575597,7.62766657520919e-112,1.46741264437722e-109
"ENSMUSG00000009585",2111.69618866141,3.76110755548346,0.167418913806599,22.4652488178741,9.08019361756526e-112,1.73463447024229e-109
"ENSMUSG00000031506",1657.46905029801,5.30041856723274,0.236129900610733,22.4470452641685,1.36765766748589e-111,2.59456056669303e-109
"ENSMUSG00000052837",656.085908751512,2.74890170861582,0.122689433138991,22.4053664466905,3.48911616049626e-111,6.57349484637496e-109
"ENSMUSG00000026778",604.024793202834,3.56100454650418,0.158948553602835,22.4035039375197,3.63809329483351e-111,6.80722141289464e-109
"ENSMUSG00000043789",347.384434128602,5.21734404188765,0.232977682638381,22.394179488796,4.48496738603847e-111,8.33471694229924e-109
"ENSMUSG00000000325",4317.15391359516,-2.7177143373858,0.121359828820323,-22.3938544063824,4.51780196184241e-111,8.339007702271e-109
"ENSMUSG00000028581",2182.69027576927,2.86736411746094,0.128395957451225,22.3321993494241,1.79854909235548e-110,3.29750094664208e-108
"ENSMUSG00000018796",2676.79538013391,3.52253418239023,0.157923435162547,22.3053290270982,3.28015873477302e-110,5.97382508776862e-108
